STREETNUMBER,STREET,TOTALUNITS,BUSINESSOPERATOR,TOTALOUTSTANDING
,,,,
210,ABBOTT ST,64,Provincial Rental Housing Corporation,5
320,ABBOTT ST,60,0707892 BC Ltd,6
404,ABBOTT ST,71,Central City Foundation,2
1932,ALBERNI ST,43,Herta Field,5
90,ALEXANDER ST,58,Powell Street Holdings Ltd,6
362,ALEXANDER ST,23,Babek Industries Ltd,82
504,ALEXANDER ST,38,Decker Residence Ltd,37
610,ALEXANDER ST,46,Herbert Snider & Bridgit Snider,1
658,ALEXANDER ST,19,0825543 BC Ltd,19
1680,BALSAM ST,35,Kentrol Investment Inc,2
1975,BALSAM ST,9,Loleon Holdings Inc,2
5603,BALSAM ST,54,Austeville Properties Ltd,1
1040,BARCLAY ST,40,Willy Enterprises Ltd,2
1170,BARCLAY ST,15,1170 Barclay Street Inc,1
1339,BARCLAY ST,21,Kayoko Shimizu,1
1395,BEACH AV,91,Bonniehon Enterprises Ltd,1
1519,BEACH AV,12,Mrs W Gutmann & Estate Of Dr Gutmann (W Gutmann),1
1531,BEACH AV,40,Harob Holdings Ltd,2
1170,BIDWELL ST,10,Reliance Holdings Ltd,2
1031,BURNABY ST,27,Radio City Investments Ltd,1
1075,BURNABY ST,53,0864564 BC Ltd,1
1537,BURNABY ST,22,Charles Hudson,3
601,BUTE ST,23,Huntly Investments Ltd,3
1376,BUTE ST,31,Royal Mansions Investment Ltd,1
317,CAMBIE ST,18,Danny's Inn Ltd,30
322,CAMBIE ST,9,Philip Swartz & Shirley Swartz,3
340,CAMBIE ST,44,635142 BC Ltd,3
3850,CAMBIE ST,14,Mo-Ping Tsang,1
7516,CAMBIE ST,7,Gardenia Investments Ltd,3
1225,CARDERO ST,169,331750 BC Ltd,1
2323,CAROLINA ST,14,Demetre Patseas,1
204,CARRALL ST,41,Jim G Z Wu & Betty Shiao Bing,42
309,CARRALL ST,41,PHS Community Services Society,4
488,CARRALL ST,92,0757745 BC Ltd,24
8632,CARTIER ST,10,Man L So & David J So,5
8709,CARTIER ST,6,Jim Frangolias,1
5487,CECIL ST,19,0809698 BC Ltd,29
905,CHILCO ST,15,Mauro Management Ltd,1
930,CHILCO ST,29,EMV Holdings Corp,1
1020,CHILCO ST,6,Moza Holdings Limited,1
2308,CLARK DRIVE,5,Armando Ferreira,3
303,COLUMBIA ST,79,Seven Estate Ltd,1
351,COLUMBIA ST,27,Persepolis Investments Inc,39
412,COLUMBIA ST,7,Oscar Enterprises Inc,3
2615,COLUMBIA ST,13,673854 BC Ltd,2
633,COMMERCIAL DRIVE,6,Fodera Vincent,2
1815,COMMERCIAL DRIVE,6,Romolo Ferrari & Uliana Ferrari,4
1828,COMMERCIAL DRIVE,6,Maria Migliuri,2
3607,COMMERCIAL ST,10,John Manzi Nalatino Manzi & Robert Manzi,1
1517,COMOX ST,9,629297 BC Ltd,1
1717,COMOX ST,23,Daysgoneby.org Land Stewards Ltd,3
2565,CORNWALL AV,7,Harold Smith,1
2618,CYPRESS ST,6,Cottwald Investments Ltd,1
1180,DAVIE ST,5,Pacific Coast Tobacco Co Ltd,1
1301,DAVIE ST,12,Tortyna Enterprises Ltd,1
809,DENMAN ST,8,Lawrence Wong,1
3989,DUMFRIES ST,36,Helping Spirit Lodge Society,2
5626,DUNBAR ST,8,J 110 Freecorp Holdings Ltd,3
2121,DUNDAS ST,35,1313 Ventures Inc,3
2167,DUNDAS ST,30,William Charles Baillie (William Baillie),2
500,DUNSMUIR ST,166,British Columbia Housing Management Commision,19
414,E 10TH AV,38,Fu D Ren & Feng B Yan,27
497,E 10TH AV,5,Christopher Wall,1
425,E 11TH AV,57,Kensington Court Apts Ltd,5
242,E 14TH AV,20,Dick Chan & Susan Chan,1
1171,E 14TH AV,6,Wolfgang B Strigel (Wolfgang Strigel),4
1675,E 14TH AV,12,Lucy Kaurinovich,13
631,E 15TH AV,12,667441 BC Ltd,2
657,E 15TH AV,8,Nhung Thi Dinh & Thi T Dinh,2
802,E 15TH AV,5,Stanislawa Smolen,1
1858,E 15TH AV,5,Donald M Pallesen (Donald Pallesen),2
50,E 16TH AV,34,Seto Investments Inc,1
330,E 36TH AV,117,Little Mtn Residential Care & Housing Society,3
2001,E 36TH AV,8,Hardip Pawa & Surinder Pawa,4
1995,E 39TH AV,7,Eddie Yen & Sandra Yen et al,1
1357,E 41ST AV,7,Larry Hoy,4
1439,E 41ST AV,5,Centr O Mart Ltd,1
447,E 6TH AV,54,447 Development Inc,1
801,E 6TH AV,188,262109 B C Ltd,12
858,E 6TH AV,5,Donato Spennati & Irene Spennati,1
1555,E 6TH AV,44,Nacel Properties Ltd,7
1602,E 6TH AV,12,Godwin Cheong-Wah Cheng & Christina Wai-Ming Lee,3
537,E 7TH AV,9,Acona Investments Ltd,3
156,E 8TH AV,12,C B T Holdings Ltd,4
456,E 8TH AV,15,Ludvik Rener,1
730,E 8TH AV,37,Gene Lee & Shirley Lee,6
1457,E 8TH AV,22,Lawrence Lenard Te (Lawrence Te),3
756,E BROADWAY,6,Shu Tse & Sara Chan,1
919,E BROADWAY,12,Linda Dodd,5
1209,E BROADWAY,37,Cameo Concepts Corp,1
1383,E BROADWAY,30,0907682 BC Ltd,3
50,E CORDOVA ST,39,Southwood Ventures Inc,103
54,E CORDOVA ST,35,Provincial Rental Housing Corporation,10
139,E CORDOVA ST,46,Betty Shiao Bing Wu (Betty Wu),4
420,E CORDOVA ST,65,Metro Vancouver Housing Corporation,18
208,E GEORGIA ST,73,Atira Women's Resource Society,37
221,E GEORGIA ST,14,Casu Holdings Ltd,3
224,E GEORGIA ST,12,Yee Fung Toy Society of Canada,1
249,E GEORGIA ST,18,249 East Georgia Street Holdings Ltd,6
291,E GEORGIA ST,34,David Lam,5
16,E HASTINGS ST,90,PHS Community Services Society,11
25,E HASTINGS ST,70,Dodson Neighbourhood House Foundation,37
52,E HASTINGS ST,55,Provincial Rental Housing Corporation,15
103,E HASTINGS ST,19,Potter's Place Mission Society,2
122,E HASTINGS ST,102,Man Kei Enterprises Ltd,18
160,E HASTINGS ST,158,Triville Enterprises Ltd,7
177,E HASTINGS ST,85,PHS Community Services Society,12
235,E HASTINGS ST,74,0771168 BC Ltd,129
237,E HASTINGS ST,60,The Natives Of Toi Shan Benevolent Society,39
241,E HASTINGS ST,17,Robert Leung and Doug Chang,23
261,E HASTINGS ST,51,Provincial Rental Housing Corporation,35
341,E HASTINGS ST,26,Summer Hotel Ltd,32
344,E HASTINGS ST,113,BC Housing Corporation,30
367,E HASTINGS ST,33,Kam C Woo & Lin D Woo,36
456,E HASTINGS ST,52,Provincial Rental Housing Corporation,3
561,E HASTINGS ST,54,Pepple Enterprises Ltd,132
769,E HASTINGS ST,82,Yang-Myung Hotel Management Ltd,1
786,E HASTINGS ST,44,Kim Thanh Nguyen (Kim Nguyen),16
1190,E HASTINGS ST,30,TLA Enterprises Limited,3
3570,E HASTINGS ST,14,Kathed Holdings Ltd,7
33,E PENDER ST,14,Yue Shan Society,2
139,E PENDER ST,34,Shun Chi Company Ltd,2
258,E PENDER ST,120,May Wah Enterprises Ltd,6
431,E PENDER ST,34,Baolu Housing Development Corporation,6
826,E PENDER ST,6,Bernhard Nachtwey,1
832,E PENDER ST,20,George Jang,29
5840,EAST BOULEVARD,22,Kok Wong & Grace Wong,4
2212,ETON ST,10,Jasmine Investments (1994) Co Ltd,2
2880,FIR ST,8,Manhattan Corp Ltd,4
2256,FRANKLIN ST,18,Castle Harbour Holdings Ltd,1
6124,FRASER ST,15,Gajindera K Sodhi & Karnail S Thind,2
6462,FRASER ST,16,6462 Fraser Developments Inc,3
8796,FREMLIN ST,13,Shiu Wah Lam & Betty Wai Hing Lam,10
341,GORE AV,27,Provincial Rental Housing Corporation,4
445,GORE AV,24,George Fu,2
609,GORE AV,51,Fan Tower South Inc,3
1503,GRANDVIEW HWY NORTH,24,Project 24 Garden Apartments Ltd,10
1046,GRANVILLE ST,82,Regal Eighty Management Corp,27
1060,GRANVILLE ST,80,1060 Granville Street Ventures Inc,9
1125,GRANVILLE ST,73,0887678 BC Ltd,83
1161,GRANVILLE ST,93,Provincial Rental Housing Corporation,6
7133,GRANVILLE ST,161,Wall & Redekop Corp Ltd,5
1812,GREER AV,34,Karl Stein & Ben Tessler,1
1540,HARO ST,27,Suffolk Services Ltd,2
1629,HARO ST,40,Shelmarjay Holdings Ltd,1
1078,HARWOOD ST,27,John Petz,7
1225,HARWOOD ST,6,James F Wong & Mary S Wong,2
1330,HARWOOD ST,83,Westsea Construction Ltd,5
8666,HEATHER ST,23,Fairbridge Enterprises Ltd,5
1119,HORNBY ST,87,Kenstone Properties Ltd,11
901,JERVIS ST,70,Evergreen Agencies Ltd & Brown Bros Holdings Ltd,2
1075,JERVIS ST,37,Zoro Holdings Ltd,10
1305,JERVIS ST,23,Gurcharn Singh Grewal (Gurcharn Grewal),1
222,KEEFER ST,45,Betty S B Wu & Qi Da Wang,4
727,KEEFER ST,12,Percy Hoy et al (Percy Hoy),40
797,KEEFER ST,6,John Thomas and Daryl Gouthro,1
1461,KINGSWAY,7,Amaro D Ferreira (Amaro Ferreira),1
2535,KINGSWAY,10,Superior Holdings Co Ltd,1
3331,KINGSWAY,6,Andy Su & Yi Su & So Han Su,1
7884,KNIGHT ST,13,Tien D Tran & Truong T Tran & Lan T Tran,10
405,KOOTENAY ST,20,362818 BC Ltd,4
1475,LABURNUM ST,26,A M R Investments Ltd,1
375,MAIN ST,76,Affordable Housing Advisory Association,1
928,MAIN ST,42,928 Main St Holdings Ltd,10
956,MAIN ST,22,Philip Swartz & Shirley Swartz,2
1012,MAIN ST,31,Philip Swartz & Shirley Swartz,23
2333,MAIN ST,8,Nay Hee Chan (Nay Chan),2
2545,MAIN ST,39,Choo Brothers Investment Ltd,7
2603,MAIN ST,12,Shirleys Holdings Ltd & Hollenberg Holdings Ltd,6
2703,MAIN ST,18,David Kokol et al (David Kokol),5
3516,MAIN ST,10,Nada Kokan,2
3995,MAIN ST,7,Fung K Chow (Fung Chow),2
4339,MAIN ST,11,Victor Wittenberg & Ervin Wittenberg,2
4453,MAIN ST,79,Kevington Building Corporation Ltd,2
4875,MAIN ST,14,S W Wong (S Wong),1
1835,MCLEAN DRIVE,33,Sha Enterprises Ltd,2
8631,MONTCALM ST,10,Triumphant Holdings Ltd,1
225,N GARDEN DRIVE,17,Great Central Ma's Investments Ltd,2
112,NANAIMO ST,14,Donald Nip,1
1420,NAPIER ST,6,0924108 BC Ltd,1
1058,NELSON ST,71,Lord Nelson Suites Inc,2
1331,NELSON ST,16,Goodhope Holdings Ltd,1
1735,NELSON ST,62,Shelmarjay Holdings Ltd,5
2333,OXFORD ST,50,Great Central Ma's Investments Ltd,3
2625,OXFORD ST,5,Grant Hanson Executor,2
1836,PARKER ST,5,Hanna Hadikin & Marlene Holt,1
1254,PENDRELL ST,87,Pendrellis Society,1
1754,PENDRELL ST,6,0714395 BC Ltd,1
4195,PERRY ST,10,Hoa Su San & Huong Thi Vu,5
134,POWELL ST,57,UVHS Urban Vision Housing Society,9
259,POWELL ST,35,259 Powell Holdings Ltd,7
316,POWELL ST,79,0781178 BC Ltd,106
326,POWELL ST,39,Cheng Hing Kai (Cheng Kai),3
346,POWELL ST,14,0773184 BC Ltd,31
376,POWELL ST,50,The Lookout Emergency Aid Society,33
396,POWELL ST,110,The Lookout Emergency Aid Society,35
403,POWELL ST,24,Provincial Rental Housing Corporation,1
437,POWELL ST,8,Ming Sun Benevolent Society,6
556,POWELL ST,22,Deborah Jane Harden & Robert William Harden,2
568,POWELL ST,17,Mario Laudisio & Gianni Laudisio,3
1895,POWELL ST,29,Nicel Enterprises Ltd,1
215,PRINCESS AV,46,Raincity Housing And Support Society,19
230,PRINCESS AV,13,0803291 BC Ltd,17
375,PRINCESS AV,46,Provincial Rental Housing Corporation,3
3122,QUEBEC ST,10,0780623 BC Ltd,1
440,RICHARDS ST,10,Trinity Holdings Ltd,2
518,RICHARDS ST,148,Provincial Rental Housing Corporation,65
1030,ROBSON ST,8,Jack Eng,3
1393,ROBSON ST,31,Global Investments House Inc,1
1100,SALSBURY DRIVE,12,629623 BC Ltd,6
695,SE MARINE DRIVE,79,Vohra Enterprises Ltd,2
8655,SELKIRK ST,32,Rocky International Investment Ltd,1
8691,SELKIRK ST,10,Juan Hui Lui (Juan Lui),5
4580,SIDNEY ST,10,John & Allan Enterprises Ltd,2
2490,STEPHENS ST,30,Jim Bonnis,2
784,THURLOW ST,44,Manhattan Co-operative Housing Association,6
2225,TRIUMPH ST,42,2225 Triumph Apartments Ltd,1
2228,TRIUMPH ST,21,Linda Conzatti,3
468,UNION ST,16,0853871 BC Ltd,2
1775,VENABLES ST,8,Wing Kuo Lee (Wing Lee),3
1216,VICTORIA DRIVE,5,P D A Capital Corp,2
1840,VINE ST,6,First Investments Corporation,1
2020,VINE ST,10,Yen Hoy Enterprises Ltd Et Al,2
2515,VINE ST,12,Katherine Michas,1
5350,VINE ST,31,Kenmark Investments Ltd,1
1225,W 10TH AV,7,Lemerald Investments Corp,1
1432,W 10TH AV,33,Gold Holdings Ltd,1
4615,W 10TH AV,13,650005 B C Ltd,1
4665,W 10TH AV,45,Christopher Investments Ltd,1
104,W 11TH AV,7,Gurdyal R P Sahota & Ranjit Sahota,61
1134,W 11TH AV,10,Nikolas Sereda & Zina Sereda,1
1364,W 11TH AV,30,Wimming Canada Ltd,1
1715,W 11TH AV,65,Major Development Ltd,1
14,W 12TH AV,6,Claire Saez Co & Jocelyn Sia,4
184,W 12TH AV,8,Tanya Marry Zelezen Meira (Tanya Zelezen Maeira),2
454,W 12TH AV,8,Futura Management Ltd,1
1265,W 12TH AV,9,George Zelis,2
1305,W 12TH AV,82,Hollyburn Properties Ltd,2
1815,W 12TH AV,5,San-Dah Lok,2
1446,W 13TH AV,11,Edward Thompson,1
1510,W 13TH AV,8,No 198 Cathedral Ventures Ltd,3
975,W 14TH AV,6,900 West 14th Holdings Inc,4
1255,W 14TH AV,60,Vancouver Park Lane Towers Ltd,3
1390,W 14TH AV,21,Mrs W Gutmann & Estate Of Dr Gutmann (W Gutmann),3
1895,W 14TH AV,5,Rashid A Aziz (Rashid Aziz),5
1020,W 16TH AV,8,Shashi Khanna,1
33,W 19TH AV,5,Tai M Lum (Tai Lum),5
2391,W 2ND AV,6,Cindy Rosamarie Wajzer-Zeindler (Cindy Wajzer-Zeindler),5
2455,W 2ND AV,32,Climar Development Co Ltd,12
2120,W 44TH AV,46,Cavalier Manor Holding Co Ltd,1
2629,W 4TH AV,10,Koon Kei Yang (Koon Yang),4
2760,W 4TH AV,10,Singh Gurdyal Sahota & Kaur P Sahota,3
3285,W 4TH AV,25,Kit S Hung & Shuk Y Hung,3
2232,W 5TH AV,20,5th Avenue Investments Ltd,1
3675,W 5TH AV,6,Ample Enterprises Ltd,5
925,W 70TH AV,18,Fremlin Investments Ltd,1
1339,W 71ST AV,8,Shimamura Enterprises Ltd,1
1355,W 71ST AV,20,Fred West Holdings Ltd,1
1379,W 71ST AV,6,Kenneth Gurney,5
361,W 7TH AV,8,Surefreeze Refrigeration & Air Condition Ltd,4
2226,W 8TH AV,35,KBK No 194 Ventures Ltd,1
11,W BROADWAY,15,Mann Kuan,1
516,W BROADWAY,5,Yorkson Investment Company Ltd,5
1073,W BROADWAY,6,Lemerald Investment Corp,1
2341,W BROADWAY,9,Anthanasious Voutsilakos & Vasiliki Voutsilakos,1
2352,W BROADWAY,39,Yang's Enterprises Ltd,1
2425,W BROADWAY,9,Maro Investments Ltd,3
2485,W BROADWAY,32,bcIMC Realty Corporation,4
2879,W BROADWAY,8,Ted Tsoromocos,1
57,W CORDOVA ST,54,Fortin Holdings Ltd,30
29,W HASTINGS ST,42,Central City Foundation,20
33,W HASTINGS ST,29,0927000 B C Ltd,21
35,W HASTINGS ST,32,Laurelwood Ventures Inc,21
74,W HASTINGS ST,35,Grand Union Holdings Ltd,1
106,W HASTINGS ST,36,Petrina Enterprises Inc,6
1427,W KING EDWARD AV,10,All Star Development Ltd,4
133,W PENDER ST,114,Vancouver Native Housing Society,1
165,W PENDER ST,85,Mina Angelicola,29
429,W PENDER ST,56,Provincial Rental Housing Corporation,1
620,W PENDER ST,51,620 W Pender Holdings Ltd,1
2177,WALL ST,17,Gordon Ho,2
2184,WALL ST,21,600342 BC Ltd,2
2199,WALL ST,28,Wall Street Holdings Ltd,2
102,WATER ST,79,Winters Residence Ltd,2
110,WATER ST,92,Provincial Rental Housing Corporation,122
122,WATER ST,147,Colonial Enterprises Ltd,7
1969,WATERLOO ST,9,Michael Tam & Samantha Tam,3
3510,WELLINGTON AV,5,Chee Mon Chu & Jean Chu,4
1750,WILLIAM ST,5,Thomas B Cave (Thomas Cave),2
2575,WINDSOR ST,20,Irene Autieri & Mary-Anne Sidaway & Elizabeth Krause & Henry Krause,2
322,WOODLAND DRIVE,29,Elleno Aloisio,9
512,WOODLAND DRIVE,16,Yin F Tong (Yin Tong),1
1200,WOODLAND DRIVE,6,Trevor French,1
1209,WOODLAND DRIVE,6,Nightingale Holdings Ltd,4
1601,YEW ST,10,PY -1 Investments Ltd,2
2275,YORK AV,9,York Street Properties Ltd,1
2366,YORK AV,11,Martin & Susan Sally,3
